"file","delimiter","n_rows_data","n_bad_rows_parse","cols_expected_count","cols_found_count","cols_missing","bad_examples"
"results_deepseek-r1_all_minilm_ca_k3.csv",",","10","0","24","25","",""
"results_deepseek-r1_all_minilm_en_k3.csv",",","10","0","24","25","",""
"results_deepseek-r1_all_minilm_es_k3.csv",",","10","0","24","25","",""
"results_deepseek-r1_mxbai_embed_large_ca_k3.csv",",","10","0","24","25","",""
"results_deepseek-r1_mxbai_embed_large_en_k3.csv",",","10","0","24","25","",""
"results_deepseek-r1_mxbai_embed_large_es_k3.csv",",","10","0","24","25","",""
"results_deepseek-r1_nomic_embed_text_ca_k3.csv",",","10","0","24","25","",""
"results_deepseek-r1_nomic_embed_text_en_k3.csv",",","10","0","24","25","",""
"results_deepseek-r1_nomic_embed_text_es_k3.csv",",","10","0","24","25","",""
"results_llama3_all_minilm_ca_k3.csv",",","10","0","24","25","",""
"results_llama3_all_minilm_en_k3.csv",",","10","0","24","25","",""
"results_llama3_all_minilm_es_k3.csv",",","10","0","24","25","",""
"results_llama3_mxbai_embed_large_ca_k3.csv",",","10","0","24","25","",""
"results_llama3_mxbai_embed_large_en_k3.csv",",","10","0","24","25","",""
"results_llama3_mxbai_embed_large_es_k3.csv",",","10","0","24","25","",""
"results_llama3_nomic_embed_text_ca_k3.csv",",","10","0","24","25","",""
"results_llama3_nomic_embed_text_en_k3.csv",",","10","0","24","25","",""
"results_llama3_nomic_embed_text_es_k3.csv",",","10","0","24","25","",""
"results_mistral_all_minilm_ca_k3.csv",",","10","0","24","25","",""
"results_mistral_all_minilm_en_k3.csv",",","10","0","24","25","",""
"results_mistral_all_minilm_es_k3.csv",",","10","0","24","25","",""
"results_mistral_mxbai_embed_large_ca_k3.csv",",","10","0","24","25","",""
"results_mistral_mxbai_embed_large_en_k3.csv",",","10","0","24","25","",""
"results_mistral_mxbai_embed_large_es_k3.csv",",","10","0","24","25","",""
"results_mistral_nomic_embed_text_ca_k3.csv",",","10","0","24","25","",""
"results_mistral_nomic_embed_text_en_k3.csv",",","10","0","24","25","",""
"results_mistral_nomic_embed_text_es_k3.csv",",","10","0","24","25","",""
