q_index10,question,gold_answer,language
1,¿Quién es el ídolo de Lisa?,Bleeding Gums Murphy,es
2,¿Qué instrumento toca Lisa?,Saxofón,es
3,¿Cómo se llama el perro de Bart?,Santa’s Little Helper,es
4,¿En qué trabaja Homer Simpson?,Inspector de seguridad en la planta nuclear,es
5,¿En qué episodio Homer es confundido con Big Foot?,The Call of the Simpsons (S01E07),es
6,¿Qué hace Bart para impresionar a los chicos populares en “The Telltale Head”?,Cortar la cabeza de la estatua de Jebediah Springfield,es
7,¿Quién ayuda a Bart a enfrentarse a Nelson en “Bart the General”?,El abuelo Abe y Herman,es
8,¿Qué trabajo extra toma Homer en Navidad en el episodio piloto?,Santa Claus en un centro comercial,es
9,¿Qué fotografía comprometedora toma Bart en “Homer’s Night Out”?,Una foto de Homer bailando con una bailarina,es
10,¿Quién realmente comete el robo en “Krusty Gets Busted”?,Sideshow Bob,es
