q_index10,question,gold_answer,language
1,Qui és l’ídol de la Lisa?,Bleeding Gums Murphy,ca
2,Quin instrument toca la Lisa?,Saxòfon,ca
3,Com es diu el gos del Bart?,Santa’s Little Helper,ca
4,En què treballa el Homer Simpson?,Inspector de seguretat a la central nuclear,ca
5,En quin episodi confonen el Homer amb el Bigfoot?,The Call of the Simpsons (S01E07),ca
6,Què fa el Bart per impressionar els nois populars a “The Telltale Head”?,Tallar el cap de l’estàtua de Jebediah Springfield,ca
7,Qui ajuda el Bart a enfrontar-se amb el Nelson a “Bart the General”?,L’avi Abe i en Herman,ca
8,Quin treball extra fa el Homer per Nadal a l’episodi pilot?,Pare Noel en un centre comercial,ca
9,Quina foto comprometedora fa el Bart a “Homer’s Night Out”?,Una foto del Homer ballant amb una ballarina,ca
10,Qui comet realment el robatori a “Krusty Gets Busted”?,En Sideshow Bob,ca
