language,llm,embedding,top_k,q_index10,n,EM_mean,F1_mean,ROUGE_L_mean,LEV_SIM_mean,ACC_rouge70,ACC_lev80,gold_score_mean,fact_cons_mean,halluc_rate_mean,groundedness_mean,retrieval_support_mean,lat_total_s_mean,lat_gen_s_mean,lat_ret_s_mean,tok_total_mean,tok_prompt_mean,tok_comp_mean,tps_mean,EM_ci_lo,EM_ci_hi,F1_ci_lo,F1_ci_hi,ROUGE_L_ci_lo,ROUGE_L_ci_hi
ca,deepseek-r1,all-minilm,3,1,1,0.0,0.0,0.0,0.11940298507462688,0.0,0.0,0.0,7.52,0.248,0.752,0.738,43.42949,43.40782,0.02166,675.0,358.0,317.0,9.831328670109812,0.0,0.0,0.0,0.0,0.0,0.0
ca,deepseek-r1,all-minilm,3,2,1,0.0,0.0,0.0,0.07894736842105265,0.0,0.0,8.5,6.8,0.32,0.68,0.626,37.01301,34.95019,2.0628,592.0,356.0,236.0,9.920885394966044,0.0,0.0,0.0,0.0,0.0,0.0
ca,deepseek-r1,all-minilm,3,3,1,0.0,0.0,0.0,0.11340206185567014,0.0,0.0,0.0,7.47,0.253,0.747,0.575,53.77836,51.709900000000005,2.06844,754.0,363.0,391.0,9.65037943909803,0.0,0.0,0.0,0.0,0.0,0.0
ca,deepseek-r1,all-minilm,3,4,1,0.0,0.09523809523809523,0.09523809523809523,0.2584269662921348,0.0,0.0,1.5,7.53,0.247,0.753,0.705,43.46102,41.40503,2.05598,658.0,375.0,283.0,9.35526817332412,0.0,0.0,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523
ca,deepseek-r1,all-minilm,3,5,1,0.0,0.3846153846153846,0.3846153846153846,0.30107526881720426,0.0,0.0,9.5,8.5,0.15,0.85,0.812,47.64343,45.58072,2.06269,689.0,375.0,314.0,9.122198681365264,0.0,0.0,0.3846153846153846,0.3846153846153846,0.3846153846153846,0.3846153846153846
ca,deepseek-r1,all-minilm,3,6,1,0.0,0.7272727272727274,0.7272727272727274,0.6075949367088608,1.0,0.0,9.5,8.1,0.19,0.81,0.791,33.56329,31.50252,2.06076,573.0,371.0,202.0,9.95413087216232,0.0,0.0,0.7272727272727274,0.7272727272727274,0.7272727272727274,0.7272727272727274
ca,deepseek-r1,all-minilm,3,7,1,0.0,0.42105263157894735,0.42105263157894735,0.38181818181818183,0.0,0.0,8.4,7.69,0.231,0.769,0.68,42.58871,40.51475,2.07395,663.0,375.0,288.0,9.810401656851486,0.0,0.0,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
ca,deepseek-r1,all-minilm,3,8,1,0.0,0.07407407407407407,0.07407407407407407,0.18487394957983194,0.0,0.0,1.5,8.42,0.158,0.842,0.624,82.82450999999999,80.76139,2.0631,1010.0,379.0,631.0,9.063332664063909,0.0,0.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
ca,deepseek-r1,all-minilm,3,9,1,0.0,0.1904761904761905,0.1904761904761905,0.3384615384615385,0.0,0.0,2.5,7.7,0.23,0.77,0.767,76.58655999999999,74.52601,2.0605300000000004,953.0,377.0,576.0,9.090421255518418,0.0,0.0,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.1904761904761905
ca,deepseek-r1,all-minilm,3,10,1,0.0,0.09523809523809525,0.09523809523809525,0.09890109890109888,0.0,0.0,2.5,8.24,0.176,0.824,0.683,32.10757,30.04834,2.05921,566.0,379.0,187.0,9.917095994280752,0.0,0.0,0.09523809523809525,0.09523809523809525,0.09523809523809525,0.09523809523809525
