"q_index10","question","gold_answer","predicted_answer","language","llm","embedding","top_k","latency_total_ms","latency_retrieval_ms","latency_generation_ms","prompt_tokens","completion_tokens","total_tokens","tokens_per_sec","gold_score_0_10","gold_feedback","factual_consistency_0_10","hallucination_rate_0_1","groundedness_pred_0_1","retrieval_support_gold_0_1","groundedness_mode_pred","retrieval_support_mode_gold","groundedness_requested","source_file"
"1","Qui és l’ídol de la Lisa?","Bleeding Gums Murphy","No es menciona a la informació del context qui és l’ídol de la Lisa.","ca","deepseek-r1","all-minilm","3","43429.49","21.66","43407.82","358","317","675","9.831328670109812","0.0","La resposta del sistema no menciona Bleeding Gums Murphy com a idol de la Lisa.","7.52","0.248","0.752","0.738","semantic","semantic","semantic","results_deepseek-r1_all_minilm_ca_k3.csv"
"2","Quin instrument toca la Lisa?","Saxòfon","El seu instrument musical és el saxofí.","ca","deepseek-r1","all-minilm","3","37013.01","2062.8","34950.19","356","236","592","9.920885394966044","8.5","La resposta és molt propera a la correcta, però hi ha un petit error en la transliteració del nom de l'instrument (saxofí en comptes de saxòfon).","6.8","0.32","0.68","0.626","semantic","semantic","semantic","results_deepseek-r1_all_minilm_ca_k3.csv"
"3","Com es diu el gos del Bart?","Santa’s Little Helper","El context no proporciona informació específica sobre un gos anomenat al·lusionant a Bart Simpson.","ca","deepseek-r1","all-minilm","3","53778.36","2068.44","51709.9","363","391","754","9.65037943909803","0.0","La resposta del sistema no es refereix al personatge de Bart Simpson i no proporciona informació sobre el gos.","7.47","0.253","0.747","0.575","semantic","semantic","semantic","results_deepseek-r1_all_minilm_ca_k3.csv"
"4","En què treballa el Homer Simpson?","Inspector de seguretat a la central nuclear","Aquestes fonts no proporcionen detall sobre el treball habitual o actual de Homer Simpson.","ca","deepseek-r1","all-minilm","3","43461.02","2055.98","41405.03","375","283","658","9.35526817332412","1.5","La resposta del sistema és vaguet i no coincideix amb la resposta correcta, que és l'inspector de seguretat a la central nuclear. Només esmenta la falta de detall sobre el treball habitual o actual, però no oferix cap informació rellevant sobre què fa Homer Simpson.","7.53","0.247","0.753","0.705","semantic","semantic","semantic","results_deepseek-r1_all_minilm_ca_k3.csv"
"5","En quin episodi confonen el Homer amb el Bigfoot?","The Call of the Simpsons (S01E07)","Aquest fet ocorre en l'episodi ""The Call of the Simpsons"", que és la setmana 7 de la temporada 1.","ca","deepseek-r1","all-minilm","3","47643.43","2062.69","45580.72","375","314","689","9.122198681365264","9.5","La resposta és correcta, però podria ser més específica en la descripció de l'episodi (nom i número de temporada), ja que es pren com a referència 'The Call of the Simpsons', que és el nom correcte, però no inclou els números de temporada (S01E07).","8.5","0.15","0.85","0.812","semantic","semantic","semantic","results_deepseek-r1_all_minilm_ca_k3.csv"
"6","Què fa el Bart per impressionar els nois populars a “The Telltale Head”?","Tallar el cap de l’estàtua de Jebediah Springfield","Talla el cap de l'estàtua de Jebediah Springfield per impressionar els populars.","ca","deepseek-r1","all-minilm","3","33563.29","2060.76","31502.52","371","202","573","9.954130872162319","9.5","La resposta és correcta en general, però no afegeix gens nou respecte la resposta correcta, no hi ha cap detall o justificació addicional.","8.1","0.19","0.81","0.791","semantic","semantic","semantic","results_deepseek-r1_all_minilm_ca_k3.csv"
"7","Qui ajuda el Bart a enfrontar-se amb el Nelson a “Bart the General”?","L’avi Abe i en Herman","A Bart el ajuden el seu avi, Abe Simpson, i el nen Herman.","ca","deepseek-r1","all-minilm","3","42588.71","2073.95","40514.75","375","288","663","9.810401656851486","8.4","{""score"": 8.4, ""feedback"": ""La resposta és pràcticament correcta, però falta la negació de subjecte ('el' en comptes d'""en""').""}","7.69","0.231","0.769","0.68","semantic","semantic","semantic","results_deepseek-r1_all_minilm_ca_k3.csv"
"8","Quin treball extra fa el Homer per Nadal a l’episodi pilot?","Pare Noel en un centre comercial","En l’episodi pilot ""Simpsons Roasting on an Open Fire"", Homer Simpson fa el treball extra d’inspector de seguretat nuclear.","ca","deepseek-r1","all-minilm","3","82824.51","2063.1","80761.39","379","631","1010","9.063332664063909","1.5","The correct answer is that Homer works as a Santa Claus at the Springfield Mall, not an inspector of nuclear security.","8.42","0.158","0.842","0.624","semantic","semantic","semantic","results_deepseek-r1_all_minilm_ca_k3.csv"
"9","Quina foto comprometedora fa el Bart a “Homer’s Night Out”?","Una foto del Homer ballant amb una ballarina","Bart fotografa a Homer en una festa on es mostra com un faldiller.","ca","deepseek-r1","all-minilm","3","76586.56","2060.53","74526.01","377","576","953","9.090421255518418","2.5","La resposta és incorrecta, no es tracta d'una festa on Homer es mostra com un faldiller. La resposta correcta és que Bart fotografia a Homer ballant amb una ballarina.","7.7","0.23","0.77","0.767","semantic","semantic","semantic","results_deepseek-r1_all_minilm_ca_k3.csv"
"10","Qui comet realment el robatori a “Krusty Gets Busted”?","En Sideshow Bob","L'ajudant de Krusty, Bob, va ser el que realment va commetre el robatori a ""Krusty Gets Busted"".","ca","deepseek-r1","all-minilm","3","32107.57","2059.21","30048.34","379","187","566","9.917095994280752","2.5","La resposta es incorrecta, ja que el robatori va ser realment comès per En Sideshow Bob i no pel ajudant de Krusty, Bob.","8.24","0.176","0.824","0.683","semantic","semantic","semantic","results_deepseek-r1_all_minilm_ca_k3.csv"
